,ID,Name,State,avg_temp,max_temp,min_temp,precipitation,fips
826,IA-143,Osceola County,Iowa,45.3,55.2,35.4,169.61,19069
827,IA-145,Page County,Iowa,51.4,62,40.8,172.47,19071
828,IA-147,Palo Alto County,Iowa,46.4,56.5,36.3,165.71,19073
829,IA-149,Plymouth County,Iowa,47.6,58.2,37,149.29,19075
830,IA-151,Pocahontas County,Iowa,46.9,57.1,36.6,160.01,19077
831,IA-153,Polk County,Iowa,49.9,59.9,39.9,172.01,19079
832,IA-155,Pottawattamie County,Iowa,50.3,60.9,39.8,165.67,19081
833,IA-157,Poweshiek County,Iowa,49,59.2,38.7,182.56,19083
834,IA-159,Ringgold County,Iowa,50.8,61.1,40.4,188.96,19085
835,IA-161,Sac County,Iowa,47.9,58,37.7,153.16,19087
836,IA-163,Scott County,Iowa,50.1,59.6,40.6,199.68,19089
837,IA-165,Shelby County,Iowa,49,59.5,38.4,169.44,19091
838,IA-167,Sioux County,Iowa,46.6,57.1,36.2,160.72,19093
839,IA-169,Story County,Iowa,48.7,58.9,38.5,174.16,19095
840,IA-171,Tama County,Iowa,47.9,58.2,37.6,176.36,19097
841,IA-173,Taylor County,Iowa,50.8,61.2,40.4,183.83,19099
842,IA-175,Union County,Iowa,49.8,60.5,39.2,177.63,19101
843,IA-177,Van Buren County,Iowa,50.3,60.1,40.5,183.53,19103
844,IA-179,Wapello County,Iowa,50.6,60.8,40.5,178.09,19105
845,IA-181,Warren County,Iowa,50.4,60.8,40,176.79,19107
846,IA-183,Washington County,Iowa,49.7,59.9,39.4,188.04,19109
847,IA-185,Wayne County,Iowa,50.5,61.2,39.8,194.1,19111
848,IA-187,Webster County,Iowa,47.5,57.8,37.2,165.7,19113
849,IA-189,Winnebago County,Iowa,45,54.8,35.3,172.7,19115
850,IA-191,Winneshiek County,Iowa,45.7,55.5,35.8,203.57,19117
851,IA-193,Woodbury County,Iowa,48.3,58.8,37.8,149.52,19119
852,IA-195,Worth County,Iowa,45.1,54.8,35.3,184.66,19121
853,IA-197,Wright County,Iowa,46.4,56.7,36.2,172.54,19123
854,KS-001,Allen County,Kansas,56.4,66.7,46.2,239.82,19125
855,KS-003,Anderson County,Kansas,55.8,65.9,45.7,218.18,19127
856,KS-005,Atchison County,Kansas,54,64.8,43.3,186.65,19129
857,KS-007,Barber County,Kansas,57.4,70.4,44.4,148.01,19131
858,KS-009,Barton County,Kansas,54.5,67,41.9,135.92,19133
859,KS-011,Bourbon County,Kansas,56.6,66.8,46.4,233.8,19135
860,KS-013,Brown County,Kansas,53.3,64.3,42.3,177.09,19137
861,KS-015,Butler County,Kansas,56.6,67.9,45.4,194.8,19139
862,KS-017,Chase County,Kansas,55.3,66.6,44.1,184.12,19141
863,KS-019,Chautauqua County,Kansas,57.6,68.8,46.4,207,19143
864,KS-021,Cherokee County,Kansas,58.1,68.7,47.5,248.3,19145
865,KS-023,Cheyenne County,Kansas,52.2,66.6,37.9,88.87,19147
866,KS-025,Clark County,Kansas,57.2,70.9,43.5,116.96,19149
867,KS-027,Clay County,Kansas,54.9,66.3,43.5,161.33,19151
868,KS-029,Cloud County,Kansas,54.4,66.1,42.8,153.47,19153
869,KS-031,Coffey County,Kansas,56,66.7,45.4,206.24,19155
870,KS-033,Comanche County,Kansas,57.3,70.9,43.8,128.75,19157
871,KS-035,Cowley County,Kansas,57.4,68.7,46,200.74,19159
872,KS-037,Crawford County,Kansas,57.2,67.6,46.8,247.6,19161
873,KS-039,Decatur County,Kansas,52.4,66.4,38.5,106.22,19163
874,KS-041,Dickinson County,Kansas,55.9,67.4,44.3,162.16,19165
875,KS-043,Doniphan County,Kansas,53.7,64.4,43,185.3,19167
876,KS-045,Douglas County,Kansas,55.5,66,45.1,207.33,19169
877,KS-047,Edwards County,Kansas,55.5,68.8,42.1,134.85,19171
878,KS-049,Elk County,Kansas,56.8,67.7,46,195.17,19173
879,KS-051,Ellis County,Kansas,54.3,67.8,40.8,139.91,19175
880,KS-053,Ellsworth County,Kansas,55.5,67.9,43.1,144.63,19177
881,KS-055,Finney County,Kansas,54.9,69.7,40.1,94.36,19179
882,KS-057,Ford County,Kansas,55.8,69.7,41.9,125.8,19181
883,KS-059,Franklin County,Kansas,55.8,66,45.6,213.67,19183
884,KS-061,Geary County,Kansas,55.3,66.3,44.4,168.54,19185
885,KS-063,Gove County,Kansas,53.7,67.7,39.6,107.45,19187
886,KS-065,Graham County,Kansas,53.5,67.1,39.9,115.97,19189
887,KS-067,Grant County,Kansas,55.3,70.2,40.4,95.8,19191
888,KS-069,Gray County,Kansas,55.3,69.6,41,107.84,19193
889,KS-071,Greeley County,Kansas,52.8,67.8,37.8,96.98,19195
890,KS-073,Greenwood County,Kansas,56.2,67.1,45.3,206.65,19197
891,KS-075,Hamilton County,Kansas,54.2,69.7,38.6,93.23,20001
892,KS-077,Harper County,Kansas,57.7,69.7,45.6,157.38,20003
893,KS-079,Harvey County,Kansas,56.7,68.6,44.8,165.12,20005
894,KS-081,Haskell County,Kansas,55.4,70,40.7,100.5,20007
895,KS-083,Hodgeman County,Kansas,55.6,69.5,41.6,122.39,20009
896,KS-085,Jackson County,Kansas,54,65,43,173.78,20011
897,KS-087,Jefferson County,Kansas,54.8,65.3,44.3,189.06,20013
898,KS-089,Jewell County,Kansas,53.2,65.2,41.1,141.42,20015
899,KS-091,Johnson County,Kansas,55.3,65.4,45.1,205.99,20017
900,KS-093,Kearny County,Kansas,54.7,69.7,39.6,94.46,20019
901,KS-095,Kingman County,Kansas,56.6,68.7,44.5,164.21,20021
902,KS-097,Kiowa County,Kansas,56.1,69.5,42.7,132.79,20023
903,KS-099,Labette County,Kansas,57.9,68.6,47.2,246.07,20025
904,KS-101,Lane County,Kansas,54.3,68.7,39.9,100.85,20027
905,KS-103,Leavenworth County,Kansas,55.1,65.5,44.8,201.34,20029
906,KS-105,Lincoln County,Kansas,55,67.8,42.3,140.52,20031
907,KS-107,Linn County,Kansas,56.2,66.3,46,227.92,20033
908,KS-109,Logan County,Kansas,53.5,68.1,38.9,103.53,20035
909,KS-111,Lyon County,Kansas,55.5,66.5,44.4,187.97,20037
910,KS-113,McPherson County,Kansas,56.2,68.2,44.3,156.6,20039
911,KS-115,Marion County,Kansas,55.9,67.4,44.4,162.72,20041
912,KS-117,Marshall County,Kansas,53.2,65,41.4,166.95,20043
913,KS-119,Meade County,Kansas,56.6,70.6,42.5,116.08,20045
914,KS-121,Miami County,Kansas,55.6,65.6,45.5,215.55,20047
915,KS-123,Mitchell County,Kansas,54,66.4,41.5,136.93,20049
916,KS-125,Montgomery County,Kansas,58,68.8,47.3,227.29,20051
917,KS-127,Morris County,Kansas,55.1,66.1,44.1,174.4,20053
918,KS-129,Morton County,Kansas,55.8,70.7,41,85.55,20055
919,KS-131,Nemaha County,Kansas,52.9,64.2,41.6,166.29,20057
920,KS-133,Neosho County,Kansas,57.1,67.4,46.7,246.55,20059
921,KS-135,Ness County,Kansas,54.8,68.5,41,115.92,20061
922,KS-137,Norton County,Kansas,52.4,66.1,38.7,114.6,20063
923,KS-139,Osage County,Kansas,55.9,66.6,45.3,196.8,20065
924,KS-141,Osborne County,Kansas,53.9,66.8,41,135.09,20067
925,KS-143,Ottawa County,Kansas,55.5,67.4,43.6,150.1,20069
926,KS-145,Pawnee County,Kansas,54.8,67.7,41.8,131.85,20071
927,KS-147,Phillips County,Kansas,53,66,39.9,117.55,20073
928,KS-149,Pottawatomie County,Kansas,54.3,65.1,43.4,167.91,20075
929,KS-151,Pratt County,Kansas,56.1,68.7,43.4,136.87,20077
930,KS-153,Rawlins County,Kansas,52.2,66.4,38.1,99.53,20079
931,KS-155,Reno County,Kansas,56.2,68.2,44.1,151.9,20081
932,KS-157,Republic County,Kansas,53.3,64.9,41.7,146.55,20083
933,KS-159,Rice County,Kansas,55.5,67.7,43.3,149.47,20085
934,KS-161,Riley County,Kansas,54.8,65.9,43.8,167.35,20087
935,KS-163,Rooks County,Kansas,53.7,67.2,40.3,124.84,20089
936,KS-165,Rush County,Kansas,54.4,67.7,41.2,135.56,20091
937,KS-167,Russell County,Kansas,54.9,67.9,41.9,133.48,20093
938,KS-169,Saline County,Kansas,56.3,68.3,44.3,149.18,20095
939,KS-171,Scott County,Kansas,54.1,68.8,39.5,93.3,20097
940,KS-173,Sedgwick County,Kansas,57.3,69,45.7,167.33,20099
941,KS-175,Seward County,Kansas,56.2,70.6,41.8,105.93,20101
942,KS-177,Shawnee County,Kansas,55.4,66.4,44.4,182.85,20103
943,KS-179,Sheridan County,Kansas,53,66.9,39.1,110.47,20105
944,KS-181,Sherman County,Kansas,52.3,66.8,37.8,99.07,20107
945,KS-183,Smith County,Kansas,53,65.5,40.4,128.89,20109
946,KS-185,Stafford County,Kansas,55,67.4,42.7,137.31,20111
947,KS-187,Stanton County,Kansas,55.1,70.3,40,85.63,20113
948,KS-189,Stevens County,Kansas,55.9,70.5,41.4,103.75,20115
949,KS-191,Sumner County,Kansas,57.9,69.5,46.4,178.61,20117
950,KS-193,Thomas County,Kansas,52.5,67,38,105.9,20119
951,KS-195,Trego County,Kansas,53.9,67.5,40.4,110.9,20121
952,KS-197,Wabaunsee County,Kansas,55,65.9,44.2,179.61,20123
953,KS-199,Wallace County,Kansas,52.9,67.5,38.4,97.04,20125
954,KS-201,Washington County,Kansas,53.3,64.8,41.8,161.88,20127
955,KS-203,Wichita County,Kansas,53.6,68.4,38.7,95.75,20129
956,KS-205,Wilson County,Kansas,57.4,67.8,47,218.64,20131
957,KS-207,Woodson County,Kansas,56.6,67.1,46.2,214.8,20133
958,KS-209,Wyandotte County,Kansas,55.4,65.7,45.1,199.51,20135
959,KY-001,Adair County,Kentucky,57.8,68.2,47.5,314.52,20137
960,KY-003,Allen County,Kentucky,58.4,69.5,47.3,311.34,20139
961,KY-005,Anderson County,Kentucky,56.5,67.1,45.9,297.78,20141
962,KY-007,Ballard County,Kentucky,58.7,68.8,48.6,276.13,20143
963,KY-009,Barren County,Kentucky,58.1,69.7,46.5,312.44,20145
964,KY-011,Bath County,Kentucky,55.5,66.2,44.7,305.23,20147
965,KY-013,Bell County,Kentucky,55.4,65.8,44.9,314.64,20149
966,KY-015,Boone County,Kentucky,55.6,65.2,45.9,264.37,20151
967,KY-017,Bourbon County,Kentucky,55.7,66.2,45.2,290.93,20153
968,KY-019,Boyd County,Kentucky,56.2,67.1,45.2,258.57,20155
969,KY-021,Boyle County,Kentucky,56.1,66.6,45.6,282.59,20157
970,KY-023,Bracken County,Kentucky,55.1,65.7,44.6,270.36,20159
971,KY-025,Breathitt County,Kentucky,57,68.4,45.6,284.46,20161
972,KY-027,Breckinridge County,Kentucky,56.4,67.5,45.3,294.56,20163
973,KY-029,Bullitt County,Kentucky,57.2,67.7,46.6,299.7,20165
974,KY-031,Butler County,Kentucky,58.3,69.6,47,292.57,20167
975,KY-033,Caldwell County,Kentucky,58,68.1,47.9,272.15,20169
976,KY-035,Calloway County,Kentucky,58.8,68.7,48.9,289.3,20171
977,KY-037,Campbell County,Kentucky,55.6,65.6,45.5,259.65,20173
978,KY-039,Carlisle County,Kentucky,58.9,68.9,48.8,283.41,20175
979,KY-041,Carroll County,Kentucky,56.5,66.3,46.8,279.82,20177
980,KY-043,Carter County,Kentucky,55.2,66.5,44,259.28,20179
981,KY-045,Casey County,Kentucky,56.7,66.9,46.4,310.47,20181
982,KY-047,Christian County,Kentucky,58.8,68.7,48.9,272.64,20183
983,KY-049,Clark County,Kentucky,56.1,66.6,45.6,305.04,20185
984,KY-051,Clay County,Kentucky,56.8,68,45.7,306.59,20187
985,KY-053,Clinton County,Kentucky,58.3,68.5,48.1,334.37,20189
986,KY-055,Crittenden County,Kentucky,57.7,67.6,47.7,276.67,20191
987,KY-057,Cumberland County,Kentucky,58.7,69.4,48,322.52,20193
988,KY-059,Daviess County,Kentucky,57.1,67.6,46.6,270.91,20195
989,KY-061,Edmonson County,Kentucky,58.2,69.7,46.7,308.05,20197
990,KY-063,Elliott County,Kentucky,55.4,66.8,44,270.88,20199
991,KY-065,Estill County,Kentucky,56.7,67.2,46.1,319.79,20201
992,KY-067,Fayette County,Kentucky,56,66.4,45.7,294.86,20203
993,KY-069,Fleming County,Kentucky,55,65.8,44.1,293.82,20205
994,KY-071,Floyd County,Kentucky,57.1,68.6,45.7,267.21,20207
995,KY-073,Franklin County,Kentucky,56.7,67.2,46.3,298.08,20209
996,KY-075,Fulton County,Kentucky,58.8,68.6,49,290.07,21001
997,KY-077,Gallatin County,Kentucky,56.4,66.1,46.7,271.68,21003
998,KY-079,Garrard County,Kentucky,56.4,66.7,46.2,295.49,21005
999,KY-081,Grant County,Kentucky,55.9,65.7,46,270.7,21007
1000,KY-083,Graves County,Kentucky,58.7,68.7,48.7,284.84,21009
1001,KY-085,Grayson County,Kentucky,57.3,68.7,45.8,304.96,21011
1002,KY-087,Green County,Kentucky,57.6,68.6,46.7,297.28,21013
1003,KY-089,Greenup County,Kentucky,55.5,66.5,44.4,244.65,21015
1004,KY-091,Hancock County,Kentucky,56.1,66.8,45.5,288.9,21017
1005,KY-093,Hardin County,Kentucky,56.7,67.6,45.8,304.99,21019
1006,KY-095,Harlan County,Kentucky,54.4,64.5,44.3,310.57,21021
1007,KY-097,Harrison County,Kentucky,55.7,66.1,45.3,281.08,21023
1008,KY-099,Hart County,Kentucky,57.6,69,46.1,307.95,21025
1009,KY-101,Henderson County,Kentucky,57.3,67.2,47.4,255.46,21027
1010,KY-103,Henry County,Kentucky,56.4,66.7,46.1,291.93,21029
1011,KY-105,Hickman County,Kentucky,58.7,68.7,48.8,288.43,21031
1012,KY-107,Hopkins County,Kentucky,58.5,68.9,48.1,274.72,21033
1013,KY-109,Jackson County,Kentucky,56.1,66.7,45.6,315.51,21035
1014,KY-111,Jefferson County,Kentucky,57.3,67.8,46.8,290.25,21037
1015,KY-113,Jessamine County,Kentucky,56.4,66.7,46.1,292.04,21039
1016,KY-115,Johnson County,Kentucky,56.6,68.3,44.9,260.03,21041
1017,KY-117,Kenton County,Kentucky,55.4,65.2,45.6,261.73,21043
1018,KY-119,Knott County,Kentucky,56.4,67.6,45.1,273.75,21045
1019,KY-121,Knox County,Kentucky,56.7,67.6,45.7,319.07,21047
1020,KY-123,Larue County,Kentucky,56.7,67.4,46,307.21,21049
1021,KY-125,Laurel County,Kentucky,56.8,67.5,46,318.02,21051
1022,KY-127,Lawrence County,Kentucky,56.4,67.9,44.8,262.56,21053
1023,KY-129,Lee County,Kentucky,56.8,67.8,45.9,306.52,21055
1024,KY-131,Leslie County,Kentucky,56.2,67.1,45.3,294.1,21057
1025,KY-133,Letcher County,Kentucky,55.3,66.3,44.4,277.4,21059
1026,KY-135,Lewis County,Kentucky,54.8,65.9,43.7,269.08,21061
1027,KY-137,Lincoln County,Kentucky,56.2,66.4,45.9,302.35,21063
1028,KY-139,Livingston County,Kentucky,58.1,67.9,48.2,279.43,21065
1029,KY-141,Logan County,Kentucky,58.5,69,47.9,300.52,21067
1030,KY-143,Lyon County,Kentucky,58.3,68.2,48.3,276.96,21069
1031,KY-145,McCracken County,Kentucky,58.8,68.9,48.7,279.6,21071
1032,KY-147,McCreary County,Kentucky,57,67.5,46.5,326.41,21073
1033,KY-149,McLean County,Kentucky,58.1,68.7,47.5,260.03,21075
1034,KY-151,Madison County,Kentucky,56.6,66.8,46.3,305.6,21077
1035,KY-153,Magoffin County,Kentucky,56.5,68,45,269.11,21079
1036,KY-155,Marion County,Kentucky,56.7,67.3,46,294.82,21081
1037,KY-157,Marshall County,Kentucky,58.8,68.6,48.9,280.43,21083
1038,KY-159,Martin County,Kentucky,57,68.7,45.3,277.05,21085
1039,KY-161,Mason County,Kentucky,54.8,65.7,44,276.41,21087
1040,KY-163,Meade County,Kentucky,56.2,67.2,45.3,285.85,21089
1041,KY-165,Menifee County,Kentucky,55.5,66.3,44.7,316.69,21091
1042,KY-167,Mercer County,Kentucky,56.4,66.9,45.9,289.79,21093
1043,KY-169,Metcalfe County,Kentucky,57.6,68.9,46.3,306.72,21095
1044,KY-171,Monroe County,Kentucky,57.9,69.2,46.6,319.24,21097
1045,KY-173,Montgomery County,Kentucky,55.8,66.5,45,308.91,21099
1046,KY-175,Morgan County,Kentucky,55.8,67.1,44.4,283.14,21101
1047,KY-177,Muhlenberg County,Kentucky,58.5,69.4,47.5,282.61,21103
1048,KY-179,Nelson County,Kentucky,56.8,67.4,46.2,301.9,21105
1049,KY-181,Nicholas County,Kentucky,55.4,66,44.7,289.76,21107
1050,KY-183,Ohio County,Kentucky,57.7,68.9,46.5,285.13,21109
1051,KY-185,Oldham County,Kentucky,56.4,67,45.8,294.53,21111
1052,KY-187,Owen County,Kentucky,56.3,66.3,46.4,285.76,21113
1053,KY-189,Owsley County,Kentucky,57.1,68.1,45.9,297.86,21115
1054,KY-191,Pendleton County,Kentucky,55.7,65.9,45.5,267.78,21117
1055,KY-193,Perry County,Kentucky,56.6,67.8,45.3,281.93,21119
1056,KY-195,Pike County,Kentucky,57,68.1,45.8,287.18,21121
1057,KY-197,Powell County,Kentucky,56.3,66.9,45.6,326.12,21123
1058,KY-199,Pulaski County,Kentucky,57.3,67.5,47,323.47,21125
1059,KY-201,Robertson County,Kentucky,55.3,65.9,44.6,279.37,21127
1060,KY-203,Rockcastle County,Kentucky,56.4,66.5,46.2,320.61,21129
1061,KY-205,Rowan County,Kentucky,54.8,65.7,43.9,298.99,21131
1062,KY-207,Russell County,Kentucky,58,68,47.9,330.79,21133
1063,KY-209,Scott County,Kentucky,56.1,66.4,45.8,294.13,21135
1064,KY-211,Shelby County,Kentucky,56.3,67,45.6,300.21,21137
1065,KY-213,Simpson County,Kentucky,58.6,69.3,47.9,303.89,21139
1066,KY-215,Spencer County,Kentucky,56.7,67.4,46,299.91,21141
1067,KY-217,Taylor County,Kentucky,57.1,67.6,46.6,299.68,21143
1068,KY-219,Todd County,Kentucky,58.7,68.7,48.6,282.38,21145
1069,KY-221,Trigg County,Kentucky,58.7,68.6,48.8,279.81,21147
1070,KY-223,Trimble County,Kentucky,56.2,66.3,46.2,285.99,21149
1071,KY-225,Union County,Kentucky,57.3,67.4,47.2,254.73,21151
1072,KY-227,Warren County,Kentucky,58.8,69.8,47.7,300.28,21153
1073,KY-229,Washington County,Kentucky,56.5,67.1,45.8,294.04,21155
1074,KY-231,Wayne County,Kentucky,57.8,68,47.6,327.7,21157
1075,KY-233,Webster County,Kentucky,57.9,68.1,47.7,266.61,21159
1076,KY-235,Whitley County,Kentucky,56.8,67.4,46.2,326.28,21161
1077,KY-237,Wolfe County,Kentucky,56.2,67.3,45.1,298.31,21163
1078,KY-239,Woodford County,Kentucky,56.5,66.9,46.1,296.78,21165
1079,LA-001,Acadia Parish,Louisiana,68.6,78.1,59.1,325.12,21167
1080,LA-003,Allen Parish,Louisiana,67.7,77.4,57.9,308.41,21169
1081,LA-005,Ascension Parish,Louisiana,69.2,79.2,59.2,355.48,21171
1082,LA-007,Assumption Parish,Louisiana,69.9,79.3,60.4,329.97,21173
1083,LA-009,Avoyelles Parish,Louisiana,67.3,77.6,56.9,320.69,21175
1084,LA-011,Beauregard Parish,Louisiana,67.9,77.9,57.9,331.4,21177
1085,LA-013,Bienville Parish,Louisiana,65.7,76.7,54.7,294.75,21179
1086,LA-015,Bossier Parish,Louisiana,66,76.6,55.3,276.07,21181
1087,LA-017,Caddo Parish,Louisiana,66,76.7,55.3,270.75,21183
1088,LA-019,Calcasieu Parish,Louisiana,69.1,78.3,59.9,341.51,21185
1089,LA-021,Caldwell Parish,Louisiana,65.7,76.7,54.8,302.32,21187
1090,LA-023,Cameron Parish,Louisiana,69.7,77.7,61.7,335.12,21189
1091,LA-025,Catahoula Parish,Louisiana,66.4,77.1,55.8,298.86,21191
1092,LA-027,Claiborne Parish,Louisiana,64.5,75.4,53.6,295.65,21193
1093,LA-029,Concordia Parish,Louisiana,66.7,77.3,56.1,295.97,21195
1094,LA-031,De Soto Parish,Louisiana,66.1,76.9,55.2,286.75,21197
1095,LA-033,East Baton Rouge Parish,Louisiana,68.5,78.6,58.4,340.75,21199
1096,LA-035,East Carroll Parish,Louisiana,65.4,75.6,55.1,299.87,21201
1097,LA-037,East Feliciana Parish,Louisiana,67.8,78.1,57.6,336.33,21203
1098,LA-039,Evangeline Parish,Louisiana,67.7,77.7,57.7,324.36,21205
1099,LA-041,Franklin Parish,Louisiana,65.9,76.7,55.1,296.85,21207
1100,LA-043,Grant Parish,Louisiana,66.3,77.1,55.5,325.49,21209
1101,LA-045,Iberia Parish,Louisiana,69.4,78,60.7,334.17,21211
1102,LA-047,Iberville Parish,Louisiana,69,78.8,59.2,346.49,21213
1103,LA-049,Jackson Parish,Louisiana,65.3,76.4,54.1,305.66,21215
1104,LA-051,Jefferson Parish,Louisiana,70.2,78.3,62.2,354.89,21217
1105,LA-053,Jefferson Davis Parish,Louisiana,68.7,77.7,59.6,323.99,21219
1106,LA-055,Lafayette Parish,Louisiana,68.9,78.6,59.2,331.52,21221
1107,LA-057,Lafourche Parish,Louisiana,70.6,78.6,62.6,331.68,21223
1108,LA-059,La Salle Parish,Louisiana,66.4,77.1,55.7,306.53,21225
1109,LA-061,Lincoln Parish,Louisiana,64.9,76,53.8,302.21,21227
1110,LA-063,Livingston Parish,Louisiana,68.7,79,58.3,375.61,21229
1111,LA-065,Madison Parish,Louisiana,65.8,76.3,55.4,296.82,21231
1112,LA-067,Morehouse Parish,Louisiana,65.1,76,54.3,298.3,21233
1113,LA-069,Natchitoches Parish,Louisiana,66.5,77.5,55.6,328.15,21235
1114,LA-071,Orleans Parish,Louisiana,69.8,77.9,61.6,348.04,21237
1115,LA-073,Ouachita Parish,Louisiana,65.1,76.2,54.1,300.5,21239
1116,LA-075,Plaquemines Parish,Louisiana,70.4,77.2,63.7,341.89,22001
1117,LA-077,Pointe Coupee Parish,Louisiana,68.3,78.1,58.5,326.24,22003
1118,LA-079,Rapides Parish,Louisiana,67.1,77.6,56.6,325.75,22005
1119,LA-081,Red River Parish,Louisiana,66.4,77.3,55.4,295.13,22007
1120,LA-083,Richland Parish,Louisiana,65.4,76.2,54.6,301.12,22009
1121,LA-085,Sabine Parish,Louisiana,66.5,77.6,55.5,324.45,22011
1122,LA-087,St. Bernard Parish,Louisiana,69.8,77.1,62.5,347.51,22013
1123,LA-089,St. Charles Parish,Louisiana,70.2,79.2,61.1,351.71,22015
1124,LA-091,St. Helena Parish,Louisiana,67.8,78.6,57,344.31,22017
1125,LA-093,St. James Parish,Louisiana,69.7,79.4,59.9,334.69,22019
1126,LA-095,St. John the Baptist Parish,Louisiana,69.7,79.4,59.9,350.82,22021
1127,LA-097,St. Landry Parish,Louisiana,68.1,78.1,58.1,327.43,22023
1128,LA-099,St. Martin Parish,Louisiana,69.2,78.7,59.6,332.01,22025
1129,LA-101,St. Mary Parish,Louisiana,70,78,61.9,325.57,22027
1130,LA-103,St. Tammany Parish,Louisiana,68.6,78.7,58.6,362.14,22029
1131,LA-105,Tangipahoa Parish,Louisiana,68.3,79,57.6,364.49,22031
1132,LA-107,Tensas Parish,Louisiana,66.1,76.8,55.4,296.16,22033
1133,LA-109,Terrebonne Parish,Louisiana,71,78.7,63.2,311.35,22035
1134,LA-111,Union Parish,Louisiana,64.9,76,53.8,302.45,22037
1135,LA-113,Vermilion Parish,Louisiana,69.4,78.1,60.6,326.38,22039
1136,LA-115,Vernon Parish,Louisiana,67.1,77.8,56.5,340.89,22041
1137,LA-117,Washington Parish,Louisiana,67.6,78.4,56.9,372.87,22043
1138,LA-119,Webster Parish,Louisiana,65.5,76.3,54.7,286.32,22045
1139,LA-121,West Baton Rouge Parish,Louisiana,68.8,78.6,58.9,331.81,22047
1140,LA-123,West Carroll Parish,Louisiana,65.2,75.5,54.8,299.86,22049
1141,LA-125,West Feliciana Parish,Louisiana,67.9,77.7,58.1,330.67,22051
1142,LA-127,Winn Parish,Louisiana,65.9,77,54.9,315.77,22053
1143,ME-001,Androscoggin County,Maine,45.5,55.4,35.6,228.86,22055
1144,ME-003,Aroostook County,Maine,39.7,50.3,29.2,203.82,22057
1145,ME-005,Cumberland County,Maine,46.1,56,36.3,233.08,22059
1146,ME-007,Franklin County,Maine,40.5,50.3,30.8,225.89,22061
1147,ME-009,Hancock County,Maine,45.3,54.8,35.8,249.21,22063
1148,ME-011,Kennebec County,Maine,45.4,55.1,35.6,222.71,22065
1149,ME-013,Knox County,Maine,45.5,54,37.1,251.32,22067
1150,ME-015,Lincoln County,Maine,46,54.8,37.2,236.6,22069
1151,ME-017,Oxford County,Maine,42.8,53.2,32.4,228.75,22071
1152,ME-019,Penobscot County,Maine,43.4,53.9,32.9,219.19,22073
1153,ME-021,Piscataquis County,Maine,40.5,50.9,30.1,215.75,22075
1154,ME-023,Sagadahoc County,Maine,46.3,55.4,37.1,234.38,22077
1155,ME-025,Somerset County,Maine,40.6,50.6,30.5,211.32,22079
1156,ME-027,Waldo County,Maine,45,54.4,35.6,240.39,22081
1157,ME-029,Washington County,Maine,44.8,54.2,35.4,241.12,22083
1158,ME-031,York County,Maine,46.5,56.6,36.4,237.59,22085
1159,MD-001,Allegany County,Maryland,53.1,63.9,42.2,227.94,22087
1160,MD-003,Anne Arundel County,Maryland,58.1,67.4,48.9,248.11,22089
1161,MD-005,Baltimore County,Maryland,55.8,65.6,45.9,256.87,22091
1162,MD-009,Calvert County,Maryland,58.2,67.5,49,258.34,22093
1163,MD-011,Caroline County,Maryland,57.6,68,47.2,241.34,22095
1164,MD-013,Carroll County,Maryland,54.4,64.4,44.3,249.26,22097
1165,MD-015,Cecil County,Maryland,55.8,64.8,46.8,244.46,22099
1166,MD-017,Charles County,Maryland,58.7,68.5,48.9,247.54,22101
1167,MD-019,Dorchester County,Maryland,58.6,68.4,48.9,239.51,22103
1168,MD-021,Frederick County,Maryland,54.8,64.7,45,244.55,22105
1169,MD-023,Garrett County,Maryland,49.4,59.3,39.4,265.86,22107
1170,MD-025,Harford County,Maryland,55.6,64.9,46.3,244.52,22109
1171,MD-027,Howard County,Maryland,55.8,65.8,45.7,251.27,22111
1172,MD-029,Kent County,Maryland,56.9,66,47.7,223.7,22113
1173,MD-031,Montgomery County,Maryland,56.1,65.7,46.6,239.63,22115
1174,MD-033,Prince George&#039;s County,Maryland,57.7,67.4,47.9,256.96,22117
1175,MD-035,Queen Anne&#039;s County,Maryland,57.2,66.8,47.6,231.46,22119
1176,MD-037,St. Mary&#039;s County,Maryland,58.6,67.9,49.2,253.81,22121
1177,MD-039,Somerset County,Maryland,59.3,68.5,50.1,232.94,22123
1178,MD-041,Talbot County,Maryland,58.1,67.6,48.6,240.6,22125
1179,MD-043,Washington County,Maryland,54.4,64.9,43.9,229.07,22127
1180,MD-045,Wicomico County,Maryland,58.7,68.9,48.6,237.65,23001
1181,MD-047,Worcester County,Maryland,58.9,67.9,49.8,238.32,23003
1182,MD-510,Baltimore City,Maryland,57.9,67.4,48.4,259.98,23005
1184,MA-001,Barnstable County,Massachusetts,51.9,59.3,44.4,254.52,23009
1185,MA-003,Berkshire County,Massachusetts,46.5,56.4,36.6,248.69,23011
1186,MA-005,Bristol County,Massachusetts,51.8,60.9,42.7,261.98,23013
1187,MA-007,Dukes County,Massachusetts,52.2,60,44.3,253.87,23015
1188,MA-009,Essex County,Massachusetts,49.9,59.2,40.6,246.24,23017
1189,MA-011,Franklin County,Massachusetts,48.3,58.5,38.1,258.73,23019
1190,MA-013,Hampden County,Massachusetts,49.3,59.4,39.1,260.9,23021
1191,MA-015,Hampshire County,Massachusetts,48.7,58.8,38.5,257.8,23023
1192,MA-017,Middlesex County,Massachusetts,50.5,60.9,40.1,252.84,23025
1193,MA-019,Nantucket County,Massachusetts,51.7,58.3,45.1,233.64,23027
